IntronLengthBin,AcceptorScore
"(1.0, 1.124]",
"(1.124, 1.264]",
"(1.264, 1.422]",
"(1.422, 1.598]",
"(1.598, 1.797]",
"(1.797, 2.021]",0.04472342714472929
"(2.021, 2.272]",
"(2.272, 2.555]",
"(2.555, 2.873]",
"(2.873, 3.23]",
"(3.23, 3.632]",
"(3.632, 4.084]",0.00010591331374598667
"(4.084, 4.592]",
"(4.592, 5.163]",
"(5.163, 5.806]",
"(5.806, 6.528]",
"(6.528, 7.34]",
"(7.34, 8.253]",
"(8.253, 9.28]",
"(9.28, 10.434]",
"(10.434, 11.732]",0.0001151031392510049
"(11.732, 13.192]",
"(13.192, 14.833]",
"(14.833, 16.678]",
"(16.678, 18.753]",
"(18.753, 21.086]",
"(21.086, 23.71]",
"(23.71, 26.659]",
"(26.659, 29.976]",
"(29.976, 33.705]",
"(33.705, 37.898]",
"(37.898, 42.613]",
"(42.613, 47.914]",0.999832034111023
"(47.914, 53.875]",
"(53.875, 60.577]",0.9998263716697693
"(60.577, 68.114]",0.8010884289862588
"(68.114, 76.587]",0.9725577204350244
"(76.587, 86.115]",0.9650841763165094
"(86.115, 96.828]",0.9858431129718416
"(96.828, 108.875]",0.9834896884001535
"(108.875, 122.419]",0.9893706867930585
"(122.419, 137.649]",0.9874437372549676
"(137.649, 154.773]",0.9866183052523341
"(154.773, 174.028]",0.985219710513619
"(174.028, 195.678]",0.98930647469048
"(195.678, 220.022]",0.9965125410158002
"(220.022, 247.394]",0.9892819500800897
"(247.394, 278.171]",0.979818338527116
"(278.171, 312.777]",0.9883149471935919
"(312.777, 351.688]",0.999305322766304
"(351.688, 395.44]",0.9859469927024394
"(395.44, 444.636]",0.9994245414380674
"(444.636, 499.951]",0.9999214700750403
"(499.951, 562.148]",0.9998997449874878
"(562.148, 632.082]",0.9410823029722772
"(632.082, 710.717]",0.999910661152431
"(710.717, 799.135]",0.999747720029619
"(799.135, 898.552]",0.9999128329126459
"(898.552, 1010.337]",0.9999132454395294
"(1010.337, 1136.029]",0.9999174854972146
"(1136.029, 1277.358]",0.9999188184738159
"(1277.358, 1436.269]",0.9998978227376938
"(1436.269, 1614.95]",
"(1614.95, 1815.859]",
"(1815.859, 2041.763]",
"(2041.763, 2295.77]",
"(2295.77, 2581.378]",0.9999145269393921
"(2581.378, 2902.517]",
"(2902.517, 3263.608]",
"(3263.608, 3669.62]",
"(3669.62, 4126.143]",
"(4126.143, 4639.46]",
"(4639.46, 5216.636]",
"(5216.636, 5865.617]",
"(5865.617, 6595.335]",
"(6595.335, 7415.835]",
"(7415.835, 8338.409]",
"(8338.409, 9375.757]",
"(9375.757, 10542.158]",
"(10542.158, 11853.666]",
"(11853.666, 13328.333]",
"(13328.333, 14986.458]",
"(14986.458, 16850.863]",
"(16850.863, 18947.212]",
"(18947.212, 21304.359]",
"(21304.359, 23954.749]",
"(23954.749, 26934.864]",
"(26934.864, 30285.723]",
"(30285.723, 34053.449]",
"(34053.449, 38289.902]",
"(38289.902, 43053.396]",
"(43053.396, 48409.498]",
"(48409.498, 54431.93]",
"(54431.93, 61203.589]",
"(61203.589, 68817.684]",
"(68817.684, 77379.017]",
"(77379.017, 87005.432]",
"(87005.432, 97829.431]",
"(97829.431, 110000.0]",
