	Run	Dataset	F1_mapping
317	DRAGEN 4.0.3 default	human T1	91.6288941377055
318	DRAGEN 4.0.3 default	human T2	91.5849776869915
319	DRAGEN 4.0.3 default	human T3	91.4377172352199
3127	DeepSAP MS150	human T1	91.9766024886919
3225	DeepSAP MS150	human T2	92.0193626160192
3325	DeepSAP MS150	human T3	92.0520360831105
389	HISAT2 2.2.1 default	human T1	90.2316020155647
390	HISAT2 2.2.1 default	human T2	89.1477273022412
391	HISAT2 2.2.1 default	human T3	86.823621514862
413	STAR 2.7.10a default	human T1	91.3175129095766
414	STAR 2.7.10a default	human T2	91.1296777398677
415	STAR 2.7.10a default	human T3	90.7020092700092
485	Subjunc 2.0.1 default	human T1	89.3843012437124
486	Subjunc 2.0.1 default	human T2	89.0861916479562
487	Subjunc 2.0.1 default	human T3	87.7013056011229
491	novoSplice 0.8.4 default	human T1	91.8265499389088
492	novoSplice 0.8.4 default	human T2	91.5969440832118
493	novoSplice 0.8.4 default	human T3	91.6054803215177
